spam,to_multiple,cc,attach,dollar,winner,inherit,password,format,re_subj,exclaim_subj
0,0,0,0,0,no,0,0,1,0,0
0,0,0,0,0,no,0,0,1,0,0
0,0,0,0,4,no,1,0,1,0,0
0,0,0,0,0,no,0,0,1,0,0
0,0,0,0,0,no,0,2,0,0,0
0,0,0,0,0,no,0,2,0,0,0
0,1,0,0,0,no,0,0,1,0,0
0,1,1,1,0,no,0,0,1,0,0
0,0,0,0,0,no,0,0,0,0,0
0,0,0,0,0,no,0,0,1,0,0
0,0,0,0,0,no,0,0,1,0,0
0,0,1,0,0,no,0,0,0,1,0
0,0,0,0,0,no,0,0,1,0,0
0,0,1,0,0,no,0,0,1,1,0
0,0,2,0,2,no,0,0,1,1,0
0,0,1,0,0,no,0,0,1,1,0
0,0,0,0,5,no,0,1,1,0,1
0,0,2,0,0,no,0,0,1,1,0
0,0,0,0,0,no,0,0,0,1,0
0,0,0,0,0,no,0,0,1,0,0
0,0,0,0,0,no,0,0,1,0,0
0,0,0,2,9,no,0,0,1,0,0
0,0,0,0,21,no,0,0,1,0,0
0,0,0,0,0,no,0,0,0,1,0
0,0,0,0,0,no,0,0,1,0,0
0,0,0,0,0,no,0,0,0,1,0
0,0,1,0,0,no,0,0,0,1,0
0,0,2,0,0,no,0,0,0,1,0
0,0,0,0,0,no,0,0,0,0,0
0,0,0,0,0,no,0,0,1,0,0
0,0,2,1,0,no,0,0,0,0,0
0,1,2,0,0,no,0,0,0,1,0
0,1,2,0,0,no,0,0,0,1,0
0,1,3,0,0,no,0,0,1,1,0
0,0,0,0,0,no,0,0,0,1,0
0,0,1,0,0,no,0,0,1,1,0
0,0,0,0,0,no,0,0,0,0,0
0,1,1,0,0,no,0,0,0,1,0
0,1,0,0,0,no,0,0,1,1,0
0,0,4,0,0,no,0,0,0,1,0
0,0,5,0,0,no,0,0,0,1,0
0,0,0,0,0,no,0,0,0,0,0
0,1,1,0,0,no,1,0,1,1,0
0,0,6,0,0,no,0,0,0,1,0
0,0,7,0,0,no,0,0,0,1,0
0,1,0,0,6,no,0,0,1,1,1
0,1,2,0,0,no,0,0,0,1,0
0,0,0,0,0,no,0,0,1,0,0
0,0,0,0,0,no,0,0,1,0,0
0,0,0,0,0,no,0,0,1,0,0
0,0,0,0,8,no,0,0,1,0,1
0,0,0,0,0,no,0,2,0,0,0
0,0,0,0,11,no,0,0,1,0,1
0,0,0,0,6,no,0,0,1,1,0
0,0,0,0,6,no,0,0,1,1,0
0,0,0,0,5,no,0,0,0,0,0
0,0,0,0,0,no,0,0,1,0,0
0,0,0,0,0,no,0,0,0,0,0
0,0,0,0,4,no,1,0,1,0,0
0,0,0,0,0,no,0,1,0,0,0
0,0,0,0,0,no,0,0,1,0,0
0,1,0,0,0,no,0,0,0,0,0
0,0,0,0,18,no,0,0,1,0,0
0,0,0,0,16,no,0,0,1,0,1
0,0,0,0,0,no,0,0,1,0,0
